percent,パーセント
automatic,オートマ
ohm,オーム
gateau,ガトー
quilting,キルティング
gris,グリ
compiler,コンパイラー
silent,サイレント
siesta,シエスタ
thing,シング
spark,スパーク
spuit,スポイト
sliding,スライディング
sling,スリング
turban,ターバン
cheer,チアー
church,チャーチ
telomere,テロメア
neutrino,ニュートリノ
buckle,バックル
but,バット
burst,バースト
bilirubin,ビリルビン
fringe,フリンジ
four,フール
pretty,プリティー
prima,プリマ
very,ベリー
potage,ポタージュ
raxa,ラシャ
actor,アクター
merasian,アメラジアン
alias,エイリアス
quartetto,カルテット
cranberry,クランベリー
cours,クール
grampus,グランパス
sunset,サンセット
sparkling,スパークリング
demand,デマンド
thoron,トロン
donna,ドンナ
nova,ノバ
hang,ハング
passion,パッション
perl,パール
viewer,ビューアー
feather,フェザー
flamingo,フラミンゴ
urg,ブルク
promenade,プロムナード
marmalade,マーマレード
medias,メリヤス
adagio,アダージョ
advantage,アドバンテージ
ammonium,アンモニウム
ear,イヤー
expo,エキスポ
operating,オペレーティング
gargoyle,ガーゴイル
garcon,ギャルソン
clam,クラム
guru,グル
compound,コンパウンド
othic,ゴス
sill,シル
synthesizer,シンセサイザー
scintigraphy,シンチグラフィー
jigsaw,ジグソー
sweetpea,スイートピー
slash,スラッシュ
sole,ソール
tattoo,タトゥー
nouvelle,ヌーベル
harrier,ハリアー
hitter,ヒッター
filament,フィラメント
frustration,フラストレーション
freedom,フリーダム
prune,プルーン
otchkiss,ホチキス
poem,ポエム
melodrama,メロドラマ
learn,ラーン
leaflet,リーフレット
academism,アカデミズム
antler,アントラー
indoor,インドア
elegance,エレガンス
enginestop,エンスト
oxidant,オキシダント
opal,オパール
cow,カウ
county,カウンティー
cascade,カスケード
groove,グルーブ
ketone,ケトン
cold,コールド
cypress,サイプレス
joker,ジョーカー
scratch,スクラッチ
stereotype,ステレオタイプ
telework,テレワーク
trombone,トロンボーン
dogma,ドグマ
doria,ドリア
buggy,バギー
holster,ホルスター
hole,ホール
olsheviki,ボルシェビキ
polyurethane,ポリウレタン
lily,リリー
regulation,レギュレーション
retriever,レトリーバー
rish,アイリッシュ
acidosis,アシドーシス
admire,アドマイヤ
alignment,アラインメント
waiver,ウェーバー
emulsion,エマルジョン
empire,エンパイア
galley,ガレー
gymnasium,ギムナジウム
galaxy,ギャラクシー
greeting,グリーティング
concealer,コンシーラー
goalkeeper,ゴールキーパー
susam,シシャモ
shuffle,シャッフル
surrealisme,シュールレアリスム
spurt,スパート
tapioca,タピオカ
tablet,タブレット
tambourine,タンバリン
diary,ダイアリー
tread,トレッド
handy,ハンディー
binary,バイナリー
baritone,バリトン
pile,パイル
hinge,ヒンジ
peel,ピール
flavonoid,フラボノイド
freelance,フリーランス
born,ボーン
posted,ポステッド
mullion,マリオン
lie,ライ
lean,リーン
accordion,アコーディオン
winning,ウイニング
yle,カイル
quatro,クアトロ
quark,クオーク
cloning,クローニング
emeinde,ゲマインデ
commerce,コマース
shade,シェード
simulator,シミュレーター
seed,シード
tarot,タロット
hom,トム
trim,トリム
trader,トレーダー
dont,ドント
paddle,パドル
fancy,ファンシー
fever,フィーバー
facial,フェイシャル
perestroika,ペレストロイカ
manjusaka,マンジュシャゲ
mustang,ムスタング
unicorn,ユニコーン
restore,レストア
acappella,アカペラ
applique,アップリケ
atlas,アトラス
imaging,イメージング
omnibus,オムニバス
onair,オンエアー
authority,オーソリティー
create,クリエート
closing,クロージング
casework,ケースワーク
coast,コースト
sala,サラ
cyclamen,シクラメン
gene,ジーン
sonar,ソナー
soliste,ソリスト
tandem,タンデム
teapot,ティーポット
tonic,トニック
tram,トラム
horium,トリウム
hacking,ハッキング
purse,パース
phage,ファージ
fiance,フィアンセ
forklift,フォークリフト
framing,フレーミング
bloomer,ブルーマー
velours,ベロア
petro,ペトロ
boiled,ボイルド
magnum,マグナム
mate,マテ
mean,ミーン
maid,メード
yoke,ヨーク
average,アベレージ
investment,インベストメント
essayist,エッセイスト
kite,カイト
caldera,カルデラ
consultation,コンサルテーション
concerto,コンチェルト
symbolic,シンボリック
stretcher,ストレッチャー
snare,スネア
slave,スレーブ
deformer,デフォルメ
drip,ドリップ
backbone,バックボーン
broiler,ブロイラー
s,ミズ
mechanical,メカニカル
maison,メゾン
replay,リプレー
regime,レジーム
anemone,アネモネ
arginine,アルギニン
ars,アルス
ark,アーク
imagination,イマジネーション
instrumental,インスト
ukulele,ウクレレ
edging,エッジング
offense,オフェンス
cabala,カバラ
quartier,カルティエ
arpaccio,カルパッチョ
cardigan,カーデ
kicker,キッカー
creek,クリーク
col,コル
going,ゴーイング
seaside,シーサイド
stud,スタッド
spats,スパッツ
slender,スレンダー
ceramics,セラミックス
destiny,デスティニー
doctrine,ドクトリン
gnu,ヌー
hammock,ハンモック
bundle,バンドル
parfum,パルファン
bishop,ビショップ
vino,ビノ
pinot,ピノ
peace,ピース
fashionable,ファッショナブル
farmer,ファーマー
fragrance,フレグランス
protease,プロテアーゼ
hornet,ホーネット
mast,マスト
marigold,マリーゴールド
meuniere,ムニエル
luggage,ラゲージ
routing,ルーティング
roommate,ルームメート
register,レジスター
logos,ロゴス
eyeliner,アイライナー
agriculture,アグリ
acetylcholine,アセチルコリン
albumin,アルブミン
angelica,アンゼリカ
rya,アーリア
indicator,インジケーター
indigo,インジゴ
eccentric,エキセントリック
calotte,キャロット
uscus,クスクス
columnist,コラムニスト
colly,コリー
onzern,コンツェルン
sapiens,サピエンス
cigarette,シガレット
cima,シーマ
gelato,ジェラート
erman,ジャーマン
swim,スイム
snowboard,スノボー
erezo,セレッソ
tunic,チュニック
tick,ティック
tracking,トラッキング
namplaa,ナンプラー
hug,ハグ
aumkuchen,バウムクーヘン
ballast,バラスト
histogram,ヒストグラム
hydroxy,ヒドロキシ
forte,フォルテ
marmot,モルモット
loudness,ラウドネス
luxury,ラグジュアリー
radish,ラディッシュ
reborn,リボーン
loci,ロキ
rocking,ロッキング
lobster,ロブスター
lotus,ロータス
outsider,アウトサイダー
appointment,アポイント
argon,アルゴン
underground,アンダーグラウンド
catarre,カタル
cameo,カメオ
cantata,カンタータ
caliper,キャリパー
crusher,クラッシャー
cordless,コードレス
coral,コーラル
salami,サラミ
jack,ジャッキ
storage,ストレージ
zoo,ズー
daisy,デージー
nymph,ニンフ
neglect,ネグレクト
ephrose,ネフローゼ
novel,ノベル
piping,パイピング
pasha,パシャ
aphiopedilum,パフィオ
before,ビフォー
bureau,ビューロー
ellenism,ヘレニズム
haven,ヘーブン
ormalin,ホルマリン
voyager,ボイジャー
mermaid,マーメード
modeling,モデリング
arc,ラルク
rehearsal,リハ
ezept,レセプト
aseline,ワセリン
outlaw,アウトロー
as,アズ
apartheid,アパルトヘイト
afternoon,アフタヌーン
arc,アーク
illusion,イリュージョン
would,ウッド
almighty,オールマイティー
comer,カマー
kinema,キネマ
constructor,コンストラクター
conflict,コンフリクト
shark,シャーク
jackal,ジャッカル
ubilo,ジュビロ
duralumin,ジュラルミン
scuba,スキューバ
tumbler,タンブラー
ampon,タンポン
das,ダス
terracotta,テラコッタ
vitality,バイタリティー
vital,バイタル
burnout,バーンアウト
path,パス
biz,ビズ
fairy,フェアリー
festival,フェス
fog,フォグ
broad,ブロード
bear,ベアー
marshmallow,マシュマロ
rondo,ロンド
winery,ワイナリー
appen,ワッペン
anthology,アンソロジー
androgen,アンドロゲン
incest,インセスト
warmer,ウォーマー
echalote,エシャロット
capitao,カピタン
chameleon,カメレオン
communist,コミュニスト
salsa,サルサ
seat,シート
jaw,ジョー
sprinter,スプリンター
sec,セック
soleil,ソレイユ
tungsten,タングステン
diaphragm,ダイアフラム
uberkulin,ツベルクリン
transmission,トランスミッション
nonstop,ノンストップ
noble,ノーブル
phishing,フィッシング
proof,プルーフ
homeostasis,ホメオスタシス
bomb,ボム
mahogany,マホガニー
mho,モー
ubiquitous,ユビキタス
remix,リミックス
upe,ルーペ
analogy,アナロジー
ability,アビリティー
fro,アフロ
intern,インターン
ullambana,ウラボン
exciting,エキサイティング
escape,エスケープ
elvin,ケルビン
cox,コックス
commeca,コムサ
cornedbeef,コーンビーフ
thunderbird,サンダーバード
signifiant,シニフィアン
sealing,シーリング
switching,スイッチング
stem,ステム
setter,セッター
songwriter,ソングライター
dirty,ダーティー
totem,トーテム
nutmeg,ナツメグ
nihilism,ニヒリズム
hyphen,ハイフン
hungry,ハングリー
package,パケ
bhiksu,ビク
peeling,ピーリング
filing,ファイリング
fox,フォックス
mash,マッシュ
mandolin,マンドリン
millefeuille,ミルフィーユ
relation,リレーション
ratio,レシオ
interviewer,インタビュアー
honor,オナー
oboe,オーボエ
couch,カウチ
gather,ギャザー
creole,クレオール
coke,コーク
civilian,シビリアン
gyro,ジャイロ
eflon,テフロン
topos,トポス
dodgeball,ドッジボール
need,ニード
panelist,パネリスト
panther,パンサー
facade,ファサード
facilitator,ファシリテーター
fan,ファン
blitz,ブリッツ
bulldog,ブルドッグ
put,プット
problem,プロブレム
pochette,ポシェット
melancholy,メランコリー
mola,モラ
ongoloid,モンゴロイド
lacquer,ラッカー
restructuring,リストラクチュアリング
lobbyist,ロビイスト
aggressive,アグレッシブ
alkane,アルカン
underground,アングラ
id,イド
exterior,エクステリア
evangelion,エバンゲリオン
ounce,オンス
cattleya,カトレア
kraan,カラン
cultural,カルチュラル
curler,カーラー
grant,グラント
communique,コミュニケ
commons,コモンズ
subtitle,サブタイトル
saponin,サポニン
shutdown,シャットダウン
shredder,シュレッダー
syndicate,シンジケート
journey,ジャーニー
stakeholder,ステークホルダー
centring,センタリング
turtleneck,タートルネック
tulle,チュール
debt,デット
stupa,トウバ
orman,ノルマン
vampire,バンパイア
permil,パーミル
bee,ビー
fishing,フィッシング
boomerang,ブーメラン
plasmid,プラスミド
oer,ボーア
microfilm,マイクロフィルム
mia,ミーア
liberty,リバティー
limiter,リミッター
amuse,アミューズ
interest,インタレスト
interactive,インターラクティブ
imperial,インペリアル
el,エル
anule,カニューレ
kino,キノ
cubism,キュービズム
cry,クライ
crime,クライム
corvette,コルベット
goblin,ゴブリン
silo,サイロ
saga,サガ
sierra,シエラ
generation,ジェネレーション
jewel,ジュエル
sterling,スターリング
dong,ドン
nuclear,ニュークリア
oel,ノエル
fortune,フォーチュン
bloom,ブルーム
heaven,ヘブン
vegetable,ベジタブル
veau,ボー
mink,ミンク
ridge,リッジ
retailing,リテーリング
requiem,レクイエム
laurel,ローレル
acetyl,アセチル
anniversary,アニバーサリー
insert,インサート
wafer,ウエハー
oregano,オレガノ
coupler,カプラー
camel,キャメル
computing,コンピューティング
convoy,コンボイ
subroutine,サブルーチン
scissor,シザー
synergy,シナジー
scream,スクリーム
spanner,スパナ
sector,セク
sophia,ソフィア
tachyon,タキオン
tartar,タルタル
testosterone,テストステロン
telex,テレックス
tailored,テーラード
truth,トゥルース
tourmaline,トルマリン
drape,ドレープ
nothing,ナッシング
noradrenalin,ノルアドレナリン
variee,バリエ
balsamico,バルサミコ
heath,ヒース
funk,ファンク
father,ファーザー
fencing,フェンシング
prelude,プレリュード
bait,ベイト
pentagon,ペンタゴン
omoopathie,ホメオパチー
holocaust,ホロコースト
polypropylene,ポリプロピレン
motocross,モトクロス
lilac,ライラック
rapper,ラッパー
ligand,リガンド
rearcar,リヤカー
lira,リラ
omanesque,ロマネスク
again,アゲイン
acetone,アセトン
avant,アバント
alma,アルマ
establishment,エスタブリッシュメント
opa,オーパ
coriander,コリアンダー
cynical,シニカル
skinhead,スキンヘッド
generalstrike,ゼネスト
typist,タイピスト
yanose,チアノーゼ
ticket,チケ
textile,テキスタイル
detente,デタント
pate,パテ
patisserie,パティスリー
bhiksuni,ビクニ
ebruary,フェブラリー
forever,フォーエバー
flier,フライアー
flextime,フレックスタイム
bracket,ブラケット
brief,ブリーフ
blocker,ブロッカー
preset,プリセット
progesterone,プロゲステロン
maxi,マキシ
maximum,マキシマム
minute,ミニッツ
etronom,メトロノーム
mole,モール
liquor,リカー
rupiah,ルピア
reportage,ルポルタージュ
romanticism,ロマンチスム
attacker,アタッカー
apex,アペックス
nglo,アングロ
aeroparts,エアロパーツ
orangutan,オランウータン
ussie,オージー
gerbera,ガーベラ
canal,キャナル
keyman,キーマン
climber,クライマー
compote,コンポート
cyborg,サイボーグ
subnet,サブネット
syllable,シラブル
scraper,スクレーパー
sprinkler,スプリンクラー
spectacle,スペクタクル
sericin,セリシン
celluloid,セルロイド
defender,ディフェンダー
decal,デカール
toner,トナー
topaz,トパーズ
dropout,ドロップアウト
paramita,ハラミツ
paella,パエーリャ
haraoh,ファラオ
filtering,フィルタリング
feature,フィーチャー
fellow,フェロー
mademoiselle,マドモアゼル
move,ムーブ
morale,モラール
eviathan,リバイアサン
repair,リペアー
regulator,レギュレーター
workstation,ワークステーション
ami,アミ
award,アワード
intra,イントラ
waterfront,ウォーターフロント
egogram,エゴグラム
lectone,エレクトーン
guilder,ギルダー
cruz,クルス
cunnilingus,クンニ
estalt,ゲシュタルト
ermanium,ゲルマニウム
concorde,コンコルド
shunt,シャント
scalp,スカルプ
sniper,スナイパー
special,スペ
dancing,ダンシング
trichloroethylene,トリクロロエチレン
narrator,ナレーター
nipper,ニッパー
nitro,ニトロ
puppy,パピー
armesan,パルメザン
filaria,フィラリア
fret,フレット
briefing,ブリーフィング
egemonie,ヘゲモニー
herald,ヘラルド
pediment,ペディメント
pathos,ペーソス
whey,ホエー
masturbation,マスターベーション
mambo,マンボ
radium,ラジウム
linole,リノール
laurier,ローリエ
once,ワンス
ivory,アイボリー
aftercare,アフターケア
amigo,アミーゴ
aldehyde,アルデヒド
lpen,アルペン
uncle,アンクル
council,カウンシル
cam,カム
guardian,ガーディアン
girlie,ガーリー
carburetor,キャブレター
coeur,クール
good,グッド
grille,グリル
glee,グリー
competence,コンピタンス
subprime,サブプライム
sympathizer,シンパ
scala,スカラ
spokesman,スポークスマン
second,セカンド
ecke,ゼッケン
sole,ソレ
diamond,ダイヤ
decorte,デコルテ
opia,トピア
trampoline,トランポリン
durian,ドリアン
baptist,バプテスト
publicity,パブリシティー
bid,ビッド
finalize,ファイナライズ
fennel,フェネル
ferret,フェレット
franchisee,フランチャイジー
brush,ブラッシュ
broadcast,ブロードキャスト
proper,プロパー
profile,プロフ
helmet,ヘル
pectin,ペクチン
whistle,ホイッスル
bossanova,ボサノバ
boyish,ボーイッシュ
agna,マグナ
magical,マジカル
madeleine,マドレーヌ
muni,ムニ
ukar,ユーカラ
luncheon,ランチョン
rig,リグ
riff,リフ
relationship,リレーションシップ
icing,アイシング
atrium,アトリウム
annual,アニュアル
applied,アプライド
amusement,アミューズメント
aster,イースター
airbus,エアーバス
esprit,エスプリ
elixir,エリクシール
electronic,エレクトロニック
officer,オフィサー
glamourous,グラマラス
cognac,コニャック
concrete,コンクリ
psycho,サイコ
stagflation,スタグフレーション
stabilizer,スタビライザー
split,スプリット
spacer,スペーサー
saber,セイバー
sexless,セックスレス
eutsche,ドイチェ
nugget,ナゲット
nursing,ナーシング
humming,ハミング
videotex,ビデオテックス
picket,ピケ
fact,ファクト
fanfare,ファンファーレ
flange,フランジ
prix,プリ
vocabulary,ボキャブラリー
iss,ミス
moule,ムール
menuetto,メヌエット
melamine,メラミン
laboratory,ラボラトリー
resin,レジン
romanticist,ロマンチシスト
outside,アウトサイド
academia,アカデミア
acetaldehyde,アセトアルデヒド
absorber,アブソーバー
android,アンドロイド
initiation,イニシエーション
catechin,カテキン
caterpillar,キャタピラー
canyon,キャニオン
crisis,クライシス
crunch,クランチ
comb,コーム
sandpaper,サンドペーパー
digitalis,ジギタリス
ap,ジャップ
schooling,スクーリング
doek,ズック
cesium,セシウム
tanponade,タンポナーデ
turntable,ターンテーブル
ciao,チャオ
decay,ディケイ
tooth,トゥース
drawing,ドローイング
budget,バジェット
band,バンド
protect,プロテクト
rotestantism,プロテスタンティズム
hospitality,ホスピタリティー
masala,マサラ
masking,マスキング
lager,ラガー
anka,ランカ
rias,リアス
assess,アセス
amethyst,アメジスト
mericanfootball,アメフト
angiotensin,アンギオテンシン
evidence,エビデンス
evolution,エボ
encoder,エンコーダー
ale,エール
ovoid,オボ
ode,オード
catapult,カタパルト
gusto,ガスト
quiche,キッシュ
camber,キャンバー
cubic,キュービック
clarin,クラリン
hloroform,クロロホルム
grep,グレップ
collective,コレクティブ
support,サポ
something,サムシング
eil,ザイル
ionism,シオニズム
gentleman,ジェントルマン
schola,スコラ
spareribs,スペアリブ
soma,ソーマ
technopolis,テクノポリス
yslexia,ディスレクシア
dip,ディップ
dean,ディーン
triathlon,トライアスロン
dolphin,ドルフィン
needle,ニードル
norme,ノルム
husky,ハスキー
bungee,バンジー
balm,バーム
packing,パッキング
ax,パックス
percussion,パーカッション
fuck,ファック
fascio,ファッショ
flannel,フランネル
playing,プレーイング
politic,ポリティック
monaural,モノラル
lingerie,ランジェリー
rayon,レーヨン
rosario,ロザリオ
apriori,アプリオリ
amaryllis,アマリリス
anthocyanin,アントシアニン
inspector,インスペクター
wish,ウィッシュ
extreme,エクストリーム
excellent,エクセレント
entertainment,エンタ
environment,エンバイロメント
orienteering,オリエンテーリング
cashew,カシュー
camper,キャンパー
uaker,クエーカー
clamp,クランプ
grammar,グラマー
grandma,グランマ
cock,コック
copywriter,コピーライター
cortisol,コルチゾール
consortium,コンソーシアム
continuity,コンテ
condominium,コンドミニアム
summary,サマリー
thermostat,サーモスタット
aal,ザール
jacket,ジャケ
gigue,ジーグ
stunt,スタント
stealth,ステルス
turmeric,ターメリック
deposit,デポジット
transceiver,トランシーバー
knocking,ノッキング
hiker,ハイカー
vacuum,バキューム
bunny,バニー
photochromic,フォトクロミック
franchiser,フランチャイザー
protection,プロテクション
peperoncino,ペペロンチーノ
vocalist,ボーカリスト
borderline,ボーダーライン
omeranian,ポメラニアン
mutton,マトン
mezzo,メゾ
mortgage,モーゲージ
reversible,リバーシブル
recreation,レク
analysis,アナリシス
annales,アナル
archery,アーチェリー
ignition,イグニッション
epi,エピ
oval,オーバル
allright,オーライ
anadian,カナディアン
cumin,クミン
crevasse,クレバス
clay,クレー
gummi,グミ
cough,コフ
commuter,コミューター
concourse,コンコース
shared,シェアード
stent,ステント
stopwatch,ストップウォッチ
strings,ストリングス
thriller,スリラー
sensitive,センシティブ
solver,ソルバー
hinatown,チャイナタウン
discipline,ディシプリン
dejavu,デジャビュ
traditional,トラディショナル
dolly,ドリー
dreaming,ドリーミング
patio,パティオ
parcel,パーセル
funky,ファンキー
iorentina,フィオレンティーナ
framboise,フランボワーズ
flea,フリー
hoop,フープ
brownie,ブラウニー
rius,プリウス
petunia,ペチュニア
majority,マジョリティー
matt,マット
mangrove,マングローブ
mixing,ミキシング
mist,ミスト
midnight,ミッドナイト
miniskirt,ミニスカ
mute,ミュート
moulin,ムーラン
erkmal,メルクマール
rising,ライジング
launcher,ランチャー
linkage,リンケージ
response,レス
arbuda,アバタ
amour,アムール
wake,ウェーク
woofer,ウーファー
ethos,エートス
caption,キャプション
ghee,ギー
graphite,グラファイト
glue,グルー
blanket,ケット
siphon,サイホン
systematic,システマチック
samo,シャモ
cymbal,シンバル
symmetry,シンメトリー
sphinx,スフィンクス
separate,セパレート
tonguing,タンギング
turf,ターフ
tyrosine,チロシン
cheeseburger,チーズバーガー
okamak,トカマク
napolitain,ナポリタン
hyperlink,ハイパーリンク
honeycomb,ハニカム
vibration,バイブレーション
bangle,バングル
patriot,パトリオット
victory,ビクトリー
fjord,フィヨルド
blanket,ブランケット
latonic,プラトニック
baseline,ベースライン
paperback,ペーパーバック
minnow,ミノー
iim,ミーム
medicine,メディシン
mellow,メロー
monogram,モノグラム
remover,リムーバー
lookup,ルックアップ
raid,レード
irony,アイロニー
underline,アンダーライン
income,インカム
estate,エステート
endeavor,エンデバー
steopathy,オステオパシー
onanie,オナ
haute,オート
coven,カブン
kayak,カヤック
cap,キャップ
uidditch,クイディッチ
cosmopolitan,コスモポリタン
cot,コット
diorama,ジオラマ
uly,ジュライ
swallow,スワロー
soarer,ソアラー
tutorial,チュートリアル
chopper,チョッパー
tundra,ツンドラ
tilt,ティルト
delicacy,デリカシー
twelve,トゥエルブ
tornado,トルネード
trendy,トレンディー
tracing,トレーシング
barbell,バーベル
anchayati,パンチャーヤット
utte,ヒュッテ
ickel,ピッケル
fromage,フロマージュ
brahman,ブラフマン
bullpen,ブルペン
proxy,プロキシー
hazelnuts,ヘーゼルナッツ
peg,ペグ
hospital,ホスピタル
holy,ホーリー
magician,マジシャン
monomer,モノマー
raglan,ラグラン
radon,ラドン
lifting,リフティング
resume,レジュメ
remedy,レメディー
rosehip,ローズヒップ
animator,アニメーター
afterrecording,アフレコ
weather,ウエザー
esthetique,エステティック
etude,エチュード
effector,エフェクター
origin,オリジン
katharsis,カタルシス
carrefour,カルフール
kandelaar,カンテラ
girdle,ガードル
canopy,キャノピー
quartz,クオーツ
creation,クリエーション
eloid,ケロイド
conseil,コンセーユ
compost,コンポスト
subunit,サブユニット
shaker,シェーカー
sick,シック
schema,スキーマ
stere,ステール
sorry,ソーリー
dynamo,ダイナモ
chalk,チャコ
terrine,テリーヌ
division,ディビジョン
tortilla,トルティーヤ
treasure,トレジャー
trek,トレック
drastic,ドラスティック
knapsack,ナップザック
noir,ノワール
parlor,パーラー
puma,ピューマ
fantastic,ファンタスティック
photograph,フォトグラフ
flowchart,フローチャート
bully,ブリー
homesick,ホームシック
poncho,ポンチョ
manta,マンタ
mutant,ミュータント
rusk,ラスク
lycee,リセ
reflexology,リフレクソロジー
retrovirus,レトロウイルス
ussian,ロシアン
lonely,ロンリー
rover,ローバー
attendant,アテンダント
witch,ウイッチ
wujud,ウジュード
evolution,エボリューション
author,オーサー
carbonara,カルボナーラ
cabaret,キャバ
kingdom,キングダム
colloid,コロイド
conditioning,コンディショニング
ontrabass,コントラバス
competency,コンピテンシー
cornstarch,コーンスターチ
alizyl,サリチル
sunroom,サンルーム
citizen,シチズン
pur,シュプール
stinger,スティンガー
thiamine,チアミン
charcoal,チャコール
tiramisu,ティラミス
anish,デニッシュ
trimmer,トリマー
backhand,バックハンド
birch,バーチ
python,パイソン
hitchhike,ヒッチハイク
bifteck,ビフテキ
fat,ファット
femme,ファム
feint,フェイント
foreign,フォーリン
frigate,フリゲート
risbee,フリスビー
bromide,ブロマイド
payment,ペイメント
formaldehyde,ホルムアルデヒド
hologram,ホログラム
bomber,ボマー
manipulator,マニピュレーター
altese,マルチーズ
mecenat,メセナ
mold,モールド
lad,ラッド
rythmique,リトミック
recipient,レシピエント
rodeo,ロデオ
outrigger,アウトリガー
amylase,アミラーゼ
alkyl,アルキル
ocarina,オカリナ
oblaat,オブラート
autumn,オータム
kaolin,カオリン
garam,ガラム
keel,キール
clipper,クリッパー
chronograph,クロノグラフ
glamor,グラマー
grotta,グロッタ
concierge,コンシェルジュ
convert,コンバート
court,コート
sanatorium,サナトリウム
sabotage,サボタージュ
sarcoidosis,サルコイドーシス
signifie,シニフィエ
juicer,ジューサー
slang,スラング
sleeper,スリーパー
sensation,センセーション
saucer,ソーサー
achshund,ダックスフント
choker,チョーカー
dare,デア
topless,トップレス
traverse,トラバース
dontmind,ドンマイ
niacin,ナイアシン
heiter,ハイター
barter,バーター
padre,パードレ
begin,ビギン
vibrato,ビブラート
pistachio,ピスタチオ
fructose,フルクトース
booklet,ブックレット
blaster,ブラスター
blizzard,ブリザード
poor,プアー
voltage,ボルテージ
maca,マカ
magenta,マゼンタ
minimal,ミニマル
oor,ムーア
maitre,メートル
motor,モト
lasagna,ラザーニャ
rosette,ロゼット
roach,ローチ
accessibility,アクセシビリティー
adjuster,アジャスター
anus,アヌス
ambassador,アンバサダー
installer,インストーラー
ether,イーサー
uranium,ウラニウム
exchange,エクスチェンジ
elephant,エレファント
oxide,オキシド
overflow,オーバーフロー
cassis,カシス
gasket,ガスケット
cuisine,キュイジーヌ
cricket,クリケット
crispy,クリスピー
ketoacidosis,ケトアシドーシス
chondroitin,コンドロイチン
controlpanel,コンパネ
confeito,コンペイトー
surround,サラウンド
saloon,サルーン
snorkeling,シュノーケリング
spectrum,スペクトラム
sleep,スリープ
slate,スレート
done,ダン
cheetah,チーター
theatre,テアトル
teaspoon,ティースプーン
talkie,トーキー
nightmare,ナイトメア
nervous,ナーバス
newscaster,ニュースキャスター
nirvana,ニルバーナ
highbush,ハイブッシュ
sphatika,ハリ
bazooka,バズーカ
papyrus,パピルス
paramount,パラマウント
hyacinth,ヒヤシンス
bidet,ビデ
pith,ピス
fuel,フューエル
hurray,フレー
booking,ブッキング
browse,ブラウズ
plow,プラウ
prestige,プレステージ
vest,ベスト
baker,ベーカー
baked,ベークド
penne,ペンネ
homer,ホーマー
hometown,ホームタウン
ohemian,ボヘミアン
maze,メイズ
lagoon,ラグーン
lapis,ラピス
lancer,ランサー
refrain,リフレイン
replay,リプ
lucent,ルーセント
wreck,レック
lemonade,レモネード
ration,レーション
warrant,ワラント
outcome,アウトカム
aquamarine,アクアマリン
axle,アクスル
attachment,アタッチメント
anion,アニオン
alumina,アルミナ
unfair,アンフェア
isoflavone,イソフラボン
instrument,インストルメント
emission,エミッション
envelope,エンベロープ
casa,カサ
cutlet,カツレツ
carpenter,カーペンター
garter,ガーター
crowd,クラウド
cleanser,クレンザー
guppy,グッピー
chemistry,ケミストリー
getyou,ゲッチュ
conglomerate,コングロマリット
sable,サブレー
salary,サラリー
cinq,サンク
sambo,サンボ
ervlet,サーブレット
shaver,シェーバー
jealousy,ジェラシー
urassic,ジュラシック
squash,スカッシュ
scud,スカッド
student,スチューデント
souffle,スフレ
splash,スプラッシュ
suq,スーク
tact,タクト
chino,チノ
topcoat,トップコート
trihalomethane,トリハロメタン
trot,トロット
doorknob,ドアノブ
nim,ニム
nombre,ノンブル
permanent,パーマネント
urger,ビュルガー
pinkie,ピンキー
butyl,ブチル
ply,プライ
primer,プライマー
printemps,プランタン
prostaglandin,プロスタグランジン
hovering,ホバリング
marriage,マリッジ
median,メジアン
makeup,メーキャップ
esus,ヤソ
amadan,ラマダン
realist,リアリスト
lizard,リザード
lame,レーム
wardrobe,ワードローブ
acountability,アカウンタビリティー
anarchist,アナーキスト
alla,アラ
amphora,アンフォラ
irae,イレ
interbank,インターバンク
intranet,イントラネット
easel,イーゼル
eclair,エクレア
encounter,エンカウンター
orchestra,オケ
hommage,オマージュ
camerawork,カメラワーク
carton,カートン
gingham,ギンガム
claimer,クレーマー
graft,グラフト
esellschaft,ゲゼルシャフト
cosmetic,コスメチック
collaborate,コラボレート
conversion,コンバージョン
corgi,コーギー
coordination,コーディネーション
cyclotron,サイクロトロン
sadistic,サディスティック
salmonella,サルモネラ
sirocco,シロッコ
thinking,シンキング
jumping,ジャンピング
scandalous,スキャンダラス
stripper,ストリッパー
separator,セパレーター
erenade,セレナーデ
tabloid,タブロイド
tarp,タープ
duffle,ダッフル
discovery,ディスカバリー
tracabiity,トレーサビリティー
demiglace,ドミグラス
pylon,パイロン
personal,パーソナル
boole,ブール
preserved,プリザーブド
voluntary,ボランタリー
pomade,ポマード
polystyrene,ポリスチレン
miler,マイラー
macrobiotic,マクロビオティック
macaron,マコロン
mana,マナ
maharaja,マハラジャ
maam,マム
menthol,メントール
monologue,モノローグ
lark,ラーク
length,レングス
lento,レント
eyebrow,アイブロー
utobahn,アウトバーン
aashram,アシュラム
admiral,アドミラル
anarchism,アナーキズム
avatar,アバ
frican,アフリカン
around,アラウンド
artistic,アーティスティック
image,イメージ
incline,インクライン
inspire,インスパイアー
instrumentalpanel,インパネ
ecosystem,エコシステム
ombuds,オンブズ
atholicism,カトリシズム
carbamazepine,カルバマゼピン
curling,カーリング
ganache,ガナッシュ
quatre,キャトル
climb,クライム
crocodile,クロコダイル
cloak,クローク
clove,クローブ
coda,コーダ
psychedelic,サイケデリック
